,year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
0,2009.0,15.02,13.01,13.73,13.33,18.79,20.01,13.89,16.57,12.74,15.12
1,2010.0,15.04,12.98,13.02,13.32,20.1,20.58,13.43,16.76,12.94,14.94
2,2011.0,14.33,12.54,12.24,12.31,19.99,19.94,13.02,15.43,12.34,14.13
3,2012.0,13.65,12.26,11.65,11.42,18.64,19.38,12.04,14.55,11.98,13.82
4,2013.0,13.97,12.7,12.21,10.85,19.54,20.05,12.57,14.24,11.98,15.19
5,2014.0,15.2,13.58,13.22,11.04,22.76,21.45,14.37,15.25,14.02,15.99
6,2015.0,16.99,14.57,13.73,13.06,26.29,23.11,16.17,16.92,15.92,18.79
7,2016.0,18.13,15.81,13.88,13.96,28.6,24.34,17.25,19.14,16.88,19.76
8,2017.0,18.61,15.53,14.76,13.8,30.02,25.28,17.26,20.0,16.4,22.05
9,2018.0,19.5,17.08,16.11,13.91,33.97,25.89,17.5,20.66,17.4,23.21
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
