,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,9890.789999999999,1037.26,861.64,1889.8899999999999,715.26,1159.51,936.0699999999999,1200.47,736.92,1353.77
2010,10084.27,1100.66,839.1899999999999,1820.27,723.3600000000001,1303.19,1061.42,1133.2600000000002,822.6899999999999,1280.23
2011,10836.26,1170.57,714.1,1946.6,825.95,1567.86,1216.87,1034.53,917.76,1442.0
2012,10915.34,1158.7,695.03,2025.35,787.69,1637.51,1199.05,1074.46,971.03,1366.5
2013,11342.49,1158.52,655.4,2195.38,798.1,1632.5,1237.99,1126.99,999.46,1538.14
2014,11544.97,1242.93,647.11,2261.72,837.75,1593.17,1204.2,1183.57,1003.92,1570.61
2015,11869.66,1292.15,753.57,2195.21,858.15,1592.99,1268.43,1299.07,996.75,1613.34
2016,11992.82,1316.55,813.19,2138.97,881.6,1661.14,1219.75,1345.98,1014.75,1600.9
2017,12071.38,1262.45,807.86,2179.51,877.92,1651.63,1274.7,1306.62,1090.8,1619.89
2018,12056.45,1369.67,796.18,2191.94,798.72,1665.36,1198.61,1378.35,1067.56,1590.06
2019,12203.67,1400.86,859.24,2285.39,812.83,1697.76,1208.83,1334.4,1014.24,1590.11
