year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire,Central Service secondments,British Transport Police
2009,1756.19,1588.06,4110.94,2180.04,1284.35,8231.88,3753.15,4494.07,2110.43,1459.76,3053.22,5853.96,2136.73,2363.39,1229.45,1326.3,2408.22,2210.6,993.52,2470.84,8636.51,1243.89,1449.74,3484.36,2172.0,1668.48,1291.02,813.49,32610.36,3810.62,3798.64,1872.46,3195.72,4317.14,3355.48,3555.62,1511.55,1371.51,1229.05,504.1,2637.5
2010,1734.03,1546.59,4140.12,2162.37,1262.24,8213.53,3711.6,4507.5,2079.77,1471.27,3001.71,5804.18,2103.79,2341.5,1215.68,1338.25,2409.32,2183.09,988.08,2435.64,8652.39,1247.54,1453.15,3562.17,2157.24,1670.71,1271.35,825.52,33116.91,3776.03,3814.48,1869.66,3214.99,4389.99,3318.54,3558.03,1495.71,1341.76,1204.46,494.9,2666.75
2011,1691.27,1467.14,4144.42,2127.38,1212.68,7971.39,3548.7,4409.03,2003.7,1465.23,2939.19,5655.8,2057.03,2262.2,1201.49,1328.59,2369.06,2118.48,946.95,2315.22,8420.02,1234.19,1436.68,3607.14,2090.12,1630.29,1254.07,869.41,32902.52,3702.4,3732.08,1879.58,3164.35,4407.25,3258.5,3505.95,1472.31,1288.42,1139.44,496.6,2653.22
2012,1584.2,1393.58,4011.71,2043.62,1153.51,7648.44,3377.9,4191.0,1903.2,1430.82,2831.16,5372.89,1919.63,2176.55,1172.73,1267.47,2233.92,2013.93,880.67,2209.88,7988.95,1185.81,1379.67,3493.93,2012.56,1571.44,1209.88,854.26,32079.14,3562.34,3581.57,1939.98,3027.51,4359.53,3119.49,3324.47,1416.86,1235.51,1075.5,463.2,2599.31
2013,1494.1,1363.3,3841.04,2016.61,1124.63,7341.21,3253.41,3995.8,1819.38,1388.79,2771.05,5125.46,1822.67,2111.63,1134.94,1240.51,2129.99,1891.98,825.34,2136.38,7709.36,1125.62,1369.77,3350.47,1968.43,1538.42,1181.61,804.52,31324.11,3428.16,3407.32,1974.9,2900.44,4335.03,2956.44,3150.94,1338.47,1208.05,1056.22,417.01,2619.63
2014,1425.3,1322.38,3708.71,1964.88,1132.27,7089.42,3129.61,3918.29,1731.42,1383.96,2748.39,4951.96,1805.92,2064.0,1103.27,1249.36,2127.79,1786.43,800.92,2029.77,7452.79,1051.75,1368.77,3249.42,1943.33,1558.36,1207.16,757.87,30653.65,3325.22,3273.88,1951.31,2828.06,4334.85,2832.57,3075.15,1258.82,1193.18,1038.02,397.97,2812.9
2015,1349.92,1221.2,3567.74,1924.61,1151.25,6847.76,2979.84,3877.04,1651.79,1401.98,2660.18,4801.85,1807.42,1994.46,1097.22,1236.69,2121.74,1708.71,805.72,1965.23,7191.86,1057.86,1362.23,3117.05,1912.1,1573.52,1189.0,742.99,31463.98,3155.46,3228.91,1895.39,2803.18,4370.61,2745.1,3079.44,1233.14,1174.87,1021.04,387.81,2900.4
2016,1299.77,1146.89,3425.26,1978.56,1130.0,6494.65,2907.27,3671.61,1585.02,1360.74,2539.77,4612.25,1816.78,1906.02,1084.95,1227.24,2036.84,1686.15,839.4,2059.8,7039.93,1080.89,1356.29,2976.01,1911.12,1546.93,1113.05,719.53,31931.77,2971.66,3171.19,1885.3,2732.83,4317.73,2694.98,3017.66,1244.45,1124.97,1006.73,310.86,2972.97
2017,1280.06,1128.07,3295.95,2009.62,1110.42,6284.62,2832.26,3551.18,1588.22,1354.56,2479.32,4592.6,1731.61,1818.43,1073.95,1203.73,1901.27,1632.2,841.24,2075.82,6859.92,1089.65,1344.52,2839.25,1929.98,1511.56,1102.4,691.31,31808.11,2892.26,3211.27,1939.81,2607.27,4180.15,2681.04,2928.79,1236.25,1081.76,992.68,366.73,2868.42
2018,1271.16,1141.15,3235.83,2005.42,1104.72,6301.32,2889.68,3490.82,1700.06,1348.97,2471.38,4853.6,1729.27,1783.92,1090.84,1193.42,1865.61,1603.6,821.68,2015.69,6623.83,1128.66,1353.6,2877.87,1948.12,1530.74,1108.17,685.97,30926.25,2863.9,3258.23,1996.5,2562.09,4080.21,2631.18,2931.55,1268.48,1072.06,981.03,384.62,2857.38
2019,1226.53,1133.49,3132.08,2009.89,1142.88,6394.4,2916.27,3418.24,1856.25,1361.05,2407.3,5088.05,1747.17,1790.55,1100.15,1205.1,1940.29,1587.46,808.14,1961.55,6544.87,1147.3,1416.67,2996.22,1981.09,1588.27,1148.31,723.41,30320.63,2757.56,3382.38,1934.33,2585.53,4087.17,2638.3,2977.94,1237.02,1072.2,990.79,361.49,2927.97
2020,1249.61,1127.91,3106.93,2034.57,1184.94,6616.46,2930.8,3537.55,1918.55,1430.29,2400.21,5215.42,1805.34,1870.41,1079.75,1238.03,1977.37,1604.31,932.34,2112.13,6472.0,1205.84,1493.93,3185.53,2041.58,1639.38,1190.25,750.31,31191.71,2684.98,3626.87,1903.02,2664.18,4221.82,2723.53,3032.78,1229.99,1122.5,991.51,336.62,2930.96
